,Country,Ground.Truth.Internet.GG,Jun_Internet_online_model,Sep_Internet_online_model,Oct_Internet_online_model,Nov_Internet_online_model,Jun_Internet_online_offline_model,Sep_Internet_online_offline_model,Oct_Internet_online_offline_model,Nov_Internet_online_offline_model,Internet.Offline.model.prediction,Mobile_GG,Jun_Mobile_online_model,Sep_Mobile_online_model,Oct_Mobile_online_model,Nov_Mobile_online_model,Jun_Mobile_online_offline_model,Sep_Mobile_online_offline_model,Oct_Mobile_online_offline_model,Nov_Mobile_online_offline_model,Mobile.Offline.model.prediction,Sep_ Jun_ Internet_online_model perc_change _,Oct_ Sep_ Internet_online_model perc_change _,Nov_ Oct_ Internet_online_model perc_change _,Sep_ Jun_ Internet_online_offline_model perc_change _,Oct_ Sep_ Internet_online_offline_model perc_change _,Nov_ Oct_ Internet_online_offline_model perc_change _,Sep_ Jun_ Mobile_online_model perc_change _,Oct_ Sep_ Mobile_online_model perc_change _,Nov_ Oct_ Mobile_online_model perc_change _,Sep_ Jun_ Mobile_online_offline_model perc_change _,Oct_ Sep_ Mobile_online_offline_model perc_change _,Nov_ Oct_ Mobile_online_offline_model perc_change _,Numeric Country
1,AFG,NA,0.654,0.654,0.656,0.656,NA,NA,NA,NA,NA,NA,0.623,0.623,0.629,0.629,NA,NA,NA,NA,NA,-0.029,0.431,0.000,NA,NA,NA,0.053,0.947,0.083,NA,NA,NA,004
2,ALB,NA,0.799,0.802,0.794,0.799,0.741,0.745,0.734,0.740,0.929,NA,0.870,0.860,0.874,0.862,NA,NA,NA,NA,NA,0.362,-1.041,0.614,0.510,-1.463,0.866,-1.144,1.528,-1.296,NA,NA,NA,008
3,DZA,NA,0.802,0.816,0.813,0.820,0.828,0.846,0.842,0.852,0.827,NA,0.807,0.818,0.818,0.827,0.851,0.866,0.859,0.879,0.945,1.780,-0.363,0.912,2.250,-0.457,1.149,1.286,0.000,1.175,1.715,-0.762,2.352,012
4,AND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,020
5,AGO,NA,0.813,0.826,0.811,0.822,1.000,1.000,1.000,1.000,0.764,NA,0.834,0.870,0.865,0.861,0.717,0.765,0.753,0.742,NA,1.599,-1.911,1.375,0.000,0.000,0.000,4.372,-0.552,-0.476,6.602,-1.581,-1.408,024
6,ARG,NA,0.957,0.986,0.983,0.983,0.942,0.980,0.977,0.977,0.93,NA,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,NA,3.033,-0.210,0.000,4.020,-0.276,0.000,0.000,0.000,0.000,0.000,0.000,0.000,032
7,ARM,0.936,0.941,0.942,0.940,0.939,0.901,0.902,0.899,0.899,0.961,NA,0.953,0.979,0.967,0.964,NA,NA,NA,NA,NA,0.071,-0.214,-0.065,0.097,-0.291,-0.089,2.783,-1.265,-0.350,NA,NA,NA,051
8,ABW,NA,0.971,0.982,0.980,0.979,NA,NA,NA,NA,NA,NA,1.000,1.000,1.000,1.000,NA,NA,NA,NA,NA,1.100,-0.128,-0.122,NA,NA,NA,0.000,0.000,0.000,NA,NA,NA,533
9,AUS,1,0.986,0.986,0.986,0.986,0.993,0.993,0.993,0.993,1,NA,1.000,1.000,1.000,1.000,0.979,1.000,0.979,0.979,NA,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.190,-2.136,0.000,036
10,AUT,0.904,0.944,0.944,0.966,0.966,0.952,0.952,0.980,0.980,0.959,NA,1.000,1.000,1.000,1.000,NA,NA,NA,NA,NA,0.018,2.273,0.000,0.024,2.944,0.000,0.000,0.000,0.000,NA,NA,NA,040
